CustomerID,Name,Age,Gender,EducationQualification,MonthlyEarning,MonthlyExpenditure,EmploymentStatus,EmploymentDuration,RentPaymentHistory,UtilityPaymentHistory,IncomeToExpenditureRatio,CreditPaymentHistory,CreditCardLimitUsage,CreditMix,CreditHistoryLength,InsuranceConsistency,NewCredit,CreditScore
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Olivia Gonzalez,28,Female,Below High School,8139,3841.58,Self-Employed,6-12 months,Excellent (100% on-time),Fair(80-70% on-time),2.12,3-5 Late Payments in Last 12 Months,0.05835,Only Credit Card,<6 Months,Some Regular Policies,18,56.2
371ecd7b-27cd-4130-8722-9389571aa876,Xavier Hanson,28,Female,PhD,8080,4203.01,Unemployed,6-12 months,Good (90-80% on-time),Fair(80-70% on-time),1.92,Defaulted/Collection,0.06385,Only Loans,5-10 Years,Some Regular Policies,35,52.64
1a2a73ed-562b-4f79-8374-59eef50bea63,Chad Taylor,41,Male,Postgraduate,7327,2566.93,Unemployed,1-2 years,Excellent (100% on-time),Poor(<70% on-time),2.85,3-5 Late Payments in Last 12 Months,0.42425,Only Credit Card,6-12 Months,All Active but One Missed Renewal,26,53.88
5be6128e-18c2-4797-a142-ea7d17be3111,William Lewis,53,Male,Diploma,2946,976.2,Contract,2-5 years,Good (90-80% on-time),Excellent (100% on-time),3.02,Always On Time,0.60411,Only Credit Card,3-5 Years,Some Regular Policies,43,64.02
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Crystal Robinson,57,Female,High School,10198,4610.25,Full-Time,5+ years,Fair(80-70% on-time),Excellent (100% on-time),2.21,Always On Time,0.37234,Only Credit Card,6-12 Months,All Active and Paid On Time,69,62.96
759cde66-bacf-43d0-8b1f-9163ce9ff57f,John Jones,41,Male,High School,12513,4311.33,Unemployed,1-2 years,Excellent (100% on-time),Excellent (100% on-time),2.9,Defaulted/Collection,0.17901,No Credit,6-12 Months,All Active but One Missed Renewal,5,50.37
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Meagan Patterson,20,Female,Diploma,13993,5069.17,Part-Time,2-5 years,Poor(<70% on-time),Excellent (100% on-time),2.76,Defaulted/Collection,0.73596,Credit Card + One Loan Type,1-3 Years,Irregular Payments/Expired,18,42.7
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Timothy Smith,39,Female,Graduate,12234,9637.42,Unemployed,5+ years,Good (90-80% on-time),Excellent (100% on-time),1.27,Always On Time,0.14004,Only Credit Card,10+ Years,Some Regular Policies,8,75.27
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Brenda Mendoza,19,Male,Graduate,5630,1820.32,Full-Time,6-12 months,Fair(80-70% on-time),Excellent (100% on-time),3.09,Defaulted/Collection,0.66802,Credit Card + Multiple Loan Types,6-12 Months,No Insurance,97,38.63
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Nicole Edwards,41,Male,Diploma,3121,2170.24,Full-Time,5+ years,Excellent (100% on-time),Fair(80-70% on-time),1.44,Defaulted/Collection,0.95673,Only Credit Card,<6 Months,Some Regular Policies,57,25.51
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Amy Ramirez,61,Male,Graduate,7581,3514.06,Part-Time,1-2 years,Excellent (100% on-time),Poor(<70% on-time),2.16,1-2 Late Payments in Last 12 Months,0.47054,Credit Card + One Loan Type,5-10 Years,All Active and Paid On Time,82,63.47
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Anthony David,47,Female,High School,9936,8176.61,Full-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.22,3-5 Late Payments in Last 12 Months,0.20043,Credit Card + One Loan Type,1-3 Years,Irregular Payments/Expired,27,62.08
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,David Perkins,55,Female,Diploma,8353,4936.58,Contract,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.69,3-5 Late Payments in Last 12 Months,0.84198,Credit Card + One Loan Type,3-5 Years,No Insurance,90,44.06
7412b293-4729-4739-a14f-f3d719db3ad0,Rose Jackson,19,Male,Diploma,4996,2414.8,Unemployed,6-12 months,Excellent (100% on-time),Excellent (100% on-time),2.07,1-2 Late Payments in Last 12 Months,0.50548,Credit Card + Multiple Loan Types,5-10 Years,Some Regular Policies,63,65.16
29a3b2e9-5d65-4441-9588-42dea2bc372f,Devin Hardin,38,Female,Graduate,2921,1783.51,Self-Employed,Less than 6 months,Fair(80-70% on-time),Excellent (100% on-time),1.64,Always On Time,0.92322,Only Credit Card,5-10 Years,All Active but One Missed Renewal,41,56.92
ab9099a4-35a2-40ae-9af3-05535ec42e08,Amber Fernandez,50,Female,Postgraduate,6056,3204.68,Unemployed,5+ years,Excellent (100% on-time),Fair(80-70% on-time),1.89,1-2 Late Payments in Last 12 Months,0.72059,Credit Card + Multiple Loan Types,5-10 Years,All Active but One Missed Renewal,60,62.32
aefcfad8-efc8-4849-b3aa-7efe4458a885,Travis Marsh,29,Female,High School,8199,5235.72,Part-Time,5+ years,Poor(<70% on-time),Excellent (100% on-time),1.57,Defaulted/Collection,0.43061,Only Credit Card,1-3 Years,Some Regular Policies,13,42.61
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Rebecca Lowery,39,Male,Graduate,6404,2361.28,Contract,Less than 6 months,Good (90-80% on-time),Good (90-80% on-time),2.71,6+ Late Payments in Last 12 Months,0.61738,Credit Card + Multiple Loan Types,3-5 Years,All Active and Paid On Time,31,57.11
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Jesse Martin,61,Female,Graduate,14546,13065.13,Unemployed,5+ years,Excellent (100% on-time),Excellent (100% on-time),1.11,1-2 Late Payments in Last 12 Months,0.16996,Only Loans,10+ Years,All Active but One Missed Renewal,54,69.08
451b4cf3-6123-4df7-b656-af7229d4beef,Robert Carter,42,Male,Below High School,9880,5486.7,Contract,2-5 years,Excellent (100% on-time),Poor(<70% on-time),1.8,1-2 Late Payments in Last 12 Months,0.38723,No Credit,5-10 Years,All Active but One Missed Renewal,64,55.09
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Amy Olsen,66,Male,Graduate,7266,3697.95,Part-Time,5+ years,No history,Poor(<70% on-time),1.96,1-2 Late Payments in Last 12 Months,0.59387,Credit Card + One Loan Type,3-5 Years,No Insurance,22,55.76
5304317f-af42-412f-b838-b3268e944239,Sydney Green,44,Female,High School,9532,6921.43,Self-Employed,Less than 6 months,Excellent (100% on-time),Poor(<70% on-time),1.38,1-2 Late Payments in Last 12 Months,0.59004,Credit Card + One Loan Type,<6 Months,All Active but One Missed Renewal,99,46.5
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Julia Parsons,59,Male,High School,10801,5598.59,Contract,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.93,6+ Late Payments in Last 12 Months,0.58722,Only Credit Card,10+ Years,All Active but One Missed Renewal,83,46.89
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Thomas May,45,Female,PhD,10382,8305.23,Full-Time,2-5 years,Poor(<70% on-time),Excellent (100% on-time),1.25,1-2 Late Payments in Last 12 Months,0.74354,Credit Card + One Loan Type,6-12 Months,Irregular Payments/Expired,58,49.6
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Erica Green,33,Male,PhD,7792,4461.41,Unemployed,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.75,Always On Time,0.10565,Only Credit Card,1-3 Years,Some Regular Policies,97,63.2
9132b63e-f162-47e4-a9c3-49e03602f8ac,Richard Burke,32,Male,Postgraduate,14003,10246.49,Unemployed,1-2 years,Good (90-80% on-time),Good (90-80% on-time),1.37,Always On Time,0.07366,Only Credit Card,<6 Months,Some Regular Policies,51,61.75
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Tammy Williams,64,Female,Diploma,11712,4268.7,Part-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),2.74,3-5 Late Payments in Last 12 Months,0.14802,Credit Card + One Loan Type,6-12 Months,Irregular Payments/Expired,95,58.05
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Joshua Herrera,68,Male,High School,5199,4199.08,Contract,6-12 months,Excellent (100% on-time),Fair(80-70% on-time),1.24,3-5 Late Payments in Last 12 Months,0.79239,Only Credit Card,5-10 Years,All Active but One Missed Renewal,75,42.3
24933b83-7577-40a9-a491-f0b2ea1fca65,Brittany Byrd,61,Male,Graduate,2775,2057.47,Contract,6-12 months,Excellent (100% on-time),Good (90-80% on-time),1.35,1-2 Late Payments in Last 12 Months,0.06485,No Credit,<6 Months,Some Regular Policies,22,58.18
beb79919-3f22-4af8-a3be-d01d43cf2fde,Gina Brennan,69,Male,Graduate,8017,3423.5,Self-Employed,5+ years,Poor(<70% on-time),Good (90-80% on-time),2.34,3-5 Late Payments in Last 12 Months,0.22524,Credit Card + Multiple Loan Types,6-12 Months,Some Regular Policies,41,62.18
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Christopher George,20,Female,High School,14419,5582.63,Part-Time,6-12 months,Fair(80-70% on-time),Fair(80-70% on-time),2.58,6+ Late Payments in Last 12 Months,0.25478,Only Loans,6-12 Months,Some Regular Policies,26,48.71
956269f0-e5d7-4875-adad-d6c795a76d79,Lauren Watts,54,Female,Graduate,1685,825.27,Unemployed,6-12 months,Excellent (100% on-time),Excellent (100% on-time),2.04,1-2 Late Payments in Last 12 Months,0.64725,Only Loans,1-3 Years,All Active but One Missed Renewal,72,53.59
ff50bde4-3825-47b8-9cab-cc97663f1c97,Peter Campbell,68,Male,Below High School,8431,7466.85,Part-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.13,Defaulted/Collection,0.40163,Only Loans,3-5 Years,All Active but One Missed Renewal,77,42.7
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Jonathon Stevenson,24,Male,PhD,10655,4838.42,Full-Time,2-5 years,Excellent (100% on-time),Good (90-80% on-time),2.2,Always On Time,0.19899,Credit Card + One Loan Type,3-5 Years,All Active but One Missed Renewal,68,76.81
dc713d96-0c0f-4195-817a-f08a1745d6d8,Karla Burton,38,Male,Diploma,8628,4949.68,Unemployed,2-5 years,Excellent (100% on-time),Poor(<70% on-time),1.74,Defaulted/Collection,0.44954,Credit Card + Multiple Loan Types,5-10 Years,Some Regular Policies,55,48.5
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Randy Jones,26,Female,Graduate,14545,4625.49,Self-Employed,2-5 years,Excellent (100% on-time),Good (90-80% on-time),3.14,Always On Time,0.68545,Credit Card + One Loan Type,5-10 Years,All Active and Paid On Time,40,74.82
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Carlos Miller,56,Female,Diploma,1998,1075.6,Unemployed,Less than 6 months,Excellent (100% on-time),Good (90-80% on-time),1.86,1-2 Late Payments in Last 12 Months,0.78605,Credit Card + One Loan Type,<6 Months,No Insurance,98,41.18
988c24c9-61b1-4d22-a280-1c4510435a10,Joseph Church,35,Male,Graduate,5528,3553.35,Full-Time,1-2 years,Excellent (100% on-time),Poor(<70% on-time),1.56,1-2 Late Payments in Last 12 Months,0.12388,Only Credit Card,3-5 Years,All Active and Paid On Time,3,70.44
405cacec-8774-49a9-b7d2-1e02ff01cf99,Michael Haas,21,Female,Graduate,1728,1506.6,Full-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.15,1-2 Late Payments in Last 12 Months,0.71472,Only Credit Card,3-5 Years,Some Regular Policies,12,57.87
f143262f-dc5c-4eed-8da0-365bf89897b9,Renee Newton,42,Female,High School,14219,8674.18,Unemployed,5+ years,Good (90-80% on-time),No History,1.64,Defaulted/Collection,0.00452,Only Loans,<6 Months,Some Regular Policies,60,40.22
1d53434b-b881-49b9-ae27-0da702f06b90,Thomas Daugherty,31,Female,PhD,4818,3813.28,Full-Time,2-5 years,Fair(80-70% on-time),Excellent (100% on-time),1.26,Always On Time,0.72432,Only Loans,1-3 Years,All Active but One Missed Renewal,76,56.2
c0398710-8976-4334-a281-7efdae849217,Scott Roy,67,Female,Postgraduate,11760,7388.53,Unemployed,Less than 6 months,Good (90-80% on-time),Good (90-80% on-time),1.59,3-5 Late Payments in Last 12 Months,0.661,Only Credit Card,<6 Months,All Active but One Missed Renewal,96,36.83
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Mr. Robert Cantu,26,Male,PhD,4846,1572.39,Unemployed,1-2 years,Good (90-80% on-time),Excellent (100% on-time),3.08,6+ Late Payments in Last 12 Months,0.46867,Credit Card + Multiple Loan Types,6-12 Months,All Active but One Missed Renewal,49,56.51
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Heather Matthews,43,Female,Postgraduate,15278,7471.02,Contract,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),2.04,Always On Time,0.13687,Only Credit Card,1-3 Years,All Active and Paid On Time,27,73.89
b8db0672-f42d-47cc-80d4-af5974273ca3,Darlene Kelly,19,Female,Graduate,4778,3083.39,Full-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.55,Defaulted/Collection,0.76455,Only Credit Card,<6 Months,All Active and Paid On Time,86,32.59
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Nancy Merritt,37,Male,PhD,11132,9688.81,Self-Employed,Less than 6 months,Good (90-80% on-time),Excellent (100% on-time),1.15,1-2 Late Payments in Last 12 Months,0.07175,Only Credit Card,<6 Months,Some Regular Policies,44,59.62
81f76d1c-2dbc-4134-830f-f46e8026695f,Brian Thompson,45,Male,High School,13138,10713.75,Unemployed,6-12 months,Good (90-80% on-time),Excellent (100% on-time),1.23,Defaulted/Collection,0.89557,Credit Card + One Loan Type,<6 Months,All Active but One Missed Renewal,13,34.23
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Theresa Goodman,64,Female,High School,2765,1208.34,Part-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),2.29,3-5 Late Payments in Last 12 Months,0.77346,No Credit,<6 Months,All Active and Paid On Time,52,42.94
81f631d4-a392-41a7-9777-a4774c66e0a8,Justin White,24,Female,Below High School,12076,5217.63,Part-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),2.31,3-5 Late Payments in Last 12 Months,0.74096,Credit Card + Multiple Loan Types,<6 Months,Some Regular Policies,53,49.84
5fb8d16c-2720-497d-b2eb-d6899be578c7,Scott Hernandez,61,Male,Diploma,13637,5737.14,Part-Time,1-2 years,Fair(80-70% on-time),Fair(80-70% on-time),2.38,1-2 Late Payments in Last 12 Months,0.75439,Credit Card + Multiple Loan Types,3-5 Years,No Insurance,23,57.7
f4188f3f-8a14-4e62-a95b-4715c333e861,Christopher Shelton,25,Male,Diploma,10482,8946.38,Full-Time,1-2 years,Good (90-80% on-time),Excellent (100% on-time),1.17,6+ Late Payments in Last 12 Months,0.06757,Only Credit Card,6-12 Months,All Active and Paid On Time,14,57.34
eb2263dd-87c5-421e-ac24-a3c5c754108f,Debbie Koch,64,Male,Diploma,14053,11405.41,Unemployed,2-5 years,Good (90-80% on-time),Excellent (100% on-time),1.23,Always On Time,0.98995,Only Loans,5-10 Years,All Active and Paid On Time,14,59.83
7d154385-52fb-443b-9954-6eb400257ad1,Tyler Stout,52,Female,Postgraduate,7479,5720.91,Unemployed,1-2 years,Good (90-80% on-time),Excellent (100% on-time),1.31,3-5 Late Payments in Last 12 Months,0.8586,Only Credit Card,5-10 Years,Some Regular Policies,82,41.89
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,April Ryan,31,Female,Diploma,14049,7525.22,Unemployed,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.87,Always On Time,0.50793,Only Loans,3-5 Years,Some Regular Policies,50,63.4
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,William Phillips,34,Male,Diploma,4329,2608.78,Part-Time,6-12 months,Excellent (100% on-time),Poor(<70% on-time),1.66,1-2 Late Payments in Last 12 Months,0.7194,Only Loans,<6 Months,Irregular Payments/Expired,74,40.92
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Taylor Smith,53,Female,Graduate,3317,1919.21,Contract,1-2 years,Poor(<70% on-time),Fair(80-70% on-time),1.73,Always On Time,0.73926,Credit Card + One Loan Type,5-10 Years,All Active and Paid On Time,96,56.73
14296c07-f26b-4776-913e-4de2e0c53cb8,Kelly Romero,67,Male,High School,8023,3626.71,Full-Time,2-5 years,Excellent (100% on-time),Fair(80-70% on-time),2.21,Defaulted/Collection,0.82979,No Credit,1-3 Years,All Active and Paid On Time,79,31.01
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Erin Nelson,57,Female,Postgraduate,3106,1872.97,Self-Employed,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.66,3-5 Late Payments in Last 12 Months,0.25537,Credit Card + Multiple Loan Types,6-12 Months,All Active but One Missed Renewal,16,68.22
885f6e66-c2b6-42c5-ba5d-310011b7e948,Christopher Dalton,21,Male,High School,6839,2176.84,Self-Employed,2-5 years,Good (90-80% on-time),Excellent (100% on-time),3.14,3-5 Late Payments in Last 12 Months,0.37205,Credit Card + Multiple Loan Types,5-10 Years,Some Regular Policies,42,69.32
a8e56e0c-20de-435d-a031-d750c40db9b4,Jamie Romero,19,Male,PhD,6945,2632.75,Unemployed,2-5 years,Excellent (100% on-time),Excellent (100% on-time),2.64,6+ Late Payments in Last 12 Months,0.79969,Only Loans,1-3 Years,All Active but One Missed Renewal,50,46.37
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Logan Golden,23,Female,Postgraduate,8190,6813.7,Unemployed,5+ years,Excellent (100% on-time),Good (90-80% on-time),1.2,3-5 Late Payments in Last 12 Months,0.76898,Only Loans,1-3 Years,All Active but One Missed Renewal,70,45.11
9b49bd26-df57-459a-8715-a10343dac043,Michael Crawford,59,Female,High School,11895,8933.24,Unemployed,1-2 years,Excellent (100% on-time),Fair(80-70% on-time),1.33,Always On Time,0.52262,Only Loans,5-10 Years,All Active but One Missed Renewal,96,57.06
edcd465e-3638-4821-b6e0-7cc06c52c49f,Stephanie Sanders,21,Female,Below High School,4383,2426.96,Unemployed,1-2 years,Good (90-80% on-time),Poor(<70% on-time),1.81,3-5 Late Payments in Last 12 Months,0.39621,No Credit,<6 Months,All Active but One Missed Renewal,29,42.89
b09b2a5c-badc-432a-8159-0f538a0f4efb,Christine Meza,46,Female,Postgraduate,14887,9085.39,Unemployed,2-5 years,Good (90-80% on-time),Excellent (100% on-time),1.64,Defaulted/Collection,0.96844,Credit Card + One Loan Type,6-12 Months,No Insurance,86,27.77
66245bfa-4fcc-439a-b683-d2e6337ea2df,Emily Hall,35,Female,Postgraduate,6058,3162.27,Full-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.92,Always On Time,0.41502,Only Loans,10+ Years,All Active but One Missed Renewal,7,77.19
5f987c71-a65e-488e-abf3-ad39fec21bbe,Thomas Wells,43,Female,Postgraduate,6268,4666.32,Unemployed,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.34,3-5 Late Payments in Last 12 Months,0.76399,Only Credit Card,5-10 Years,Some Regular Policies,87,44.78
7394988f-847f-49b4-a64d-1bcb702753a1,Caitlin Howard,61,Male,Postgraduate,15286,11778.05,Self-Employed,2-5 years,Excellent (100% on-time),Fair(80-70% on-time),1.3,3-5 Late Payments in Last 12 Months,0.41264,Only Loans,6-12 Months,All Active but One Missed Renewal,69,50.44
1064005c-3985-43cf-bf76-be1d1efa2197,Jason Blackwell,51,Female,High School,5384,4080.92,Part-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.32,1-2 Late Payments in Last 12 Months,0.30984,Only Credit Card,3-5 Years,No Insurance,3,61.81
8dcdcd03-969b-4662-8562-8059568cc69b,Bradley Pacheco,27,Male,Diploma,6526,4787.26,Full-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.36,Defaulted/Collection,0.641,Credit Card + One Loan Type,6-12 Months,All Active and Paid On Time,61,42.98
01d74256-3860-4ab6-96a4-02f23ae8cc93,Matthew Armstrong,53,Male,High School,12353,5221.65,Self-Employed,2-5 years,Excellent (100% on-time),Poor(<70% on-time),2.37,1-2 Late Payments in Last 12 Months,0.80762,Only Loans,5-10 Years,All Active and Paid On Time,93,52.75
0f1259e0-a18f-46b6-b535-106e122c9a56,Brittany Mitchell,31,Female,Postgraduate,2943,1479.69,Full-Time,5+ years,Good (90-80% on-time),Fair(80-70% on-time),1.99,Always On Time,0.98138,Only Credit Card,1-3 Years,All Active but One Missed Renewal,43,53.6
080aadfb-e7c9-4b26-9141-25c63a9bedd4,Thomas Friedman,48,Male,Graduate,6342,3690.46,Part-Time,5+ years,Good (90-80% on-time),Excellent (100% on-time),1.72,Defaulted/Collection,0.1489,Only Credit Card,5-10 Years,All Active and Paid On Time,12,59.43
839fbc50-1223-4513-9496-f63cdc1110c1,Colleen Hernandez,65,Male,Diploma,14949,7451.71,Self-Employed,6-12 months,Excellent (100% on-time),Excellent (100% on-time),2.01,3-5 Late Payments in Last 12 Months,0.87611,Credit Card + Multiple Loan Types,10+ Years,All Active but One Missed Renewal,99,53.95
7c441fe7-ab42-40a7-874a-493b3ceddf2d,Peter Haynes,32,Female,High School,5103,3842.38,Unemployed,1-2 years,Excellent (100% on-time),Fair(80-70% on-time),1.33,1-2 Late Payments in Last 12 Months,0.52414,Credit Card + One Loan Type,10+ Years,All Active but One Missed Renewal,42,61.96
b92da22b-21df-406f-8a0b-3c3336d8393a,Jeffrey Ford,25,Female,Diploma,3173,1578.92,Unemployed,Less than 6 months,Excellent (100% on-time),Good (90-80% on-time),2.01,Always On Time,0.10774,Credit Card + One Loan Type,<6 Months,All Active but One Missed Renewal,53,68.45
93829b43-922f-415a-a1e3-db63ef7ddc76,Brittany Ortiz,31,Female,Diploma,6876,2633.09,Part-Time,6-12 months,Good (90-80% on-time),Good (90-80% on-time),2.61,Defaulted/Collection,0.79438,Only Loans,10+ Years,Some Regular Policies,97,36.63
7914c120-c8dc-419f-be35-11287900f7f9,Miranda Beck,40,Male,Postgraduate,13512,7288.7,Part-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.85,Always On Time,0.33154,No Credit,6-12 Months,All Active and Paid On Time,58,64.18
1825bc54-30be-445f-a835-14f2ceb81f9d,Amanda Bennett,57,Female,Graduate,1907,1693.32,Full-Time,Less than 6 months,Excellent (100% on-time),Fair(80-70% on-time),1.13,1-2 Late Payments in Last 12 Months,0.86825,No Credit,1-3 Years,All Active but One Missed Renewal,68,41.75
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,David Robertson,38,Female,Postgraduate,15618,6802.09,Part-Time,6-12 months,Excellent (100% on-time),Fair(80-70% on-time),2.3,Always On Time,0.1578,Only Loans,<6 Months,All Active and Paid On Time,71,65.54
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Kristen Davis,33,Female,Graduate,7315,4881.26,Full-Time,5+ years,Poor(<70% on-time),Poor(<70% on-time),1.5,Defaulted/Collection,0.71109,Credit Card + Multiple Loan Types,3-5 Years,All Active but One Missed Renewal,75,40.05
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Brian Pena,62,Female,High School,14151,7921.5,Unemployed,5+ years,Good (90-80% on-time),Excellent (100% on-time),1.79,6+ Late Payments in Last 12 Months,0.3008,Only Loans,3-5 Years,No Insurance,80,46.64
0f844fef-1931-49ee-a56c-0941fbf24050,Amanda Nelson,35,Male,Postgraduate,11191,3834.2,Part-Time,2-5 years,Fair(80-70% on-time),Excellent (100% on-time),2.92,3-5 Late Payments in Last 12 Months,0.25735,Credit Card + Multiple Loan Types,5-10 Years,Some Regular Policies,7,74.19
ccf3a171-56dc-4907-ba6c-34ab6712303a,Sarah Bush,64,Female,Postgraduate,2734,1620.51,Full-Time,5+ years,Excellent (100% on-time),Excellent (100% on-time),1.69,3-5 Late Payments in Last 12 Months,0.05026,No Credit,10+ Years,All Active and Paid On Time,93,64.36
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Robert Miller,41,Male,Graduate,7098,5119.78,Part-Time,2-5 years,Excellent (100% on-time),Poor(<70% on-time),1.39,Defaulted/Collection,0.48191,Credit Card + One Loan Type,1-3 Years,All Active and Paid On Time,55,45.37
23e2fcb4-72d8-467d-894a-05e430b187ef,Anna Poole,43,Female,Postgraduate,16163,9826,Part-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.64,Defaulted/Collection,0.3915,Only Credit Card,1-3 Years,All Active but One Missed Renewal,53,44.67
